nodeId,embedding
225,"[0.04622741788625717, -0.21755485236644745]"
226,"[0.04600345715880394, 0.20630614459514618]"
227,"[0.045958664268255234, -0.2089216560125351]"
228,"[0.046093035489320755, 0.03676174208521843]"
229,"[0.04604824632406235, 0.12153394520282745]"
230,"[0.04582429304718971, 0.045394930988550186]"
231,"[0.0457795076072216, 0.1301671266555786]"
232,"[0.04591388255357742, -0.12414946407079697]"
233,"[0.04586908221244812, -0.03937726840376854]"
234,"[0.045645128935575485, -0.11551627516746521]"
235,"[0.045600343495607376, -0.030744079500436783]"
236,"[0.045734718441963196, 0.21493932604789734]"
237,"[0.04568991810083389, -0.20028847455978394]"
238,"[0.04689927399158478, 0.01086217351257801]"
239,"[0.046854473650455475, 0.09563437104225159]"
240,"[0.046988848596811295, -0.1586822271347046]"
241,"[0.046944063156843185, -0.07391002774238586]"
242,"[0.04672010987997055, -0.15004903078079224]"
243,"[0.046675316989421844, -0.06527683883905411]"
244,"[0.046809691935777664, 0.1804065704345703]"
245,"[0.04676489904522896, -0.23482123017311096]"
246,"[0.046540938317775726, 0.18903976678848267]"
247,"[0.046496156603097916, -0.2261880338191986]"
248,"[0.04663052782416344, 0.019495360553264618]"
249,"[0.04658573865890503, 0.10426756739616394]"
250,"[0.046361781656742096, 0.02812855690717697]"
251,"[0.04631699249148369, 0.1129007562994957]"
252,"[0.04645136371254921, -0.14141584932804108]"
253,"[0.0464065745472908, -0.05664364993572235]"
254,"[0.05621573328971863, -0.12175503373146057]"
255,"[0.056170932948589325, -0.036982838064432144]"
256,"[0.056305307894945145, 0.20870056748390198]"
257,"[0.056260522454977036, -0.2065272331237793]"
258,"[0.056036561727523804, 0.21733374893665314]"
259,"[0.05599178001284599, -0.19789405167102814]"
260,"[0.056126151233911514, 0.04778936132788658]"
261,"[0.05608136206865311, 0.1325615644454956]"
262,"[0.055857397615909576, 0.05642254650592804]"
263,"[0.055812615901231766, 0.14119474589824677]"
264,"[0.05594698712229729, -0.11312185227870941]"
265,"[0.05590219795703888, -0.028349651023745537]"
266,"[0.055678240954875946, -0.10448866337537766]"
267,"[0.05563345178961754, -0.01971646398305893]"
268,"[0.05576782301068306, 0.2259669452905655]"
269,"[0.05572303384542465, -0.18926085531711578]"
270,"[0.05693237856030464, 0.02188979648053646]"
271,"[0.05688759684562683, 0.10666199773550034]"
272,"[-4.558653831481934, -4.265931606292725]"
273,"[0.05697717145085335, -0.06288240849971771]"
274,"[0.056753214448690414, -0.13902141153812408]"
275,"[-6.390897750854492, -3.916471242904663]"
276,"[0.05684279650449753, 0.19143418967723846]"
277,"[0.05679800733923912, -0.2237936109304428]"
278,"[0.05657406151294708, 0.20006737112998962]"
279,"[0.05652926117181778, -0.21516042947769165]"
280,"[0.0566636361181736, 0.030522985383868217]"
281,"[0.05661884322762489, 0.1152951791882515]"
282,"[0.056394897401332855, 0.039156172424554825]"
283,"[0.05635009706020355, 0.12392836809158325]"
284,"[0.05648447200655937, -0.13038823008537292]"
285,"[0.05643968656659126, -0.0456160269677639]"
286,"[-2.8594510555267334, -3.1989920139312744]"
287,"[-4.365878582000732, 2.8316400051116943]"
288,"[0.05487200617790222, -0.07858908921480179]"
289,"[0.054827217012643814, 0.006183106452226639]"
290,"[0.05460326746106148, -0.06995590031147003]"
291,"[0.05455847829580307, 0.014816293492913246]"
292,"[0.054692842066287994, -0.23950029909610748]"
293,"[0.05464805290102959, -0.15472809970378876]"
294,"[0.05442410334944725, -0.23086711764335632]"
295,"[-7.032406330108643, 2.477494955062866]"
296,"[0.05451367795467377, 0.09958849102258682]"
297,"[0.054468896239995956, 0.18436068296432495]"
298,"[0.05424494296312332, 0.10822168737649918]"
299,"[0.05420014262199402, 0.1929938793182373]"
300,"[0.05433452129364014, -0.061322715133428574]"
301,"[0.05428973212838173, 0.023449480533599854]"
302,"[0.05549907684326172, 0.23460012674331665]"
303,"[0.05545428767800331, -0.18062767386436462]"
304,"[0.05558865889906883, 0.0650557428598404]"
305,"[0.055543869733810425, 0.14982794225215912]"
306,"[0.05531991645693779, 0.07368893176317215]"
307,"[0.055275123566389084, 0.15846112370491028]"
308,"[0.055409498512744904, -0.0958554744720459]"
309,"[0.0553647056221962, -0.01108326856046915]"
310,"[0.05514075234532356, -0.08722227811813354]"
311,"[0.05509595945477486, -0.002450081054121256]"
312,"[0.05523034185171127, 0.243233323097229]"
313,"[0.05518554151058197, -0.17199447751045227]"
314,"[-6.487354278564453, -3.962491273880005]"
315,"[0.054916802793741226, -0.1633612960577011]"
316,"[0.055051177740097046, 0.08232211321592331]"
317,"[0.05500637739896774, 0.16709430515766144]"
318,"[0.053349122405052185, -0.1963343620300293]"
319,"[0.05330433323979378, -0.11156215518712997]"
320,"[0.053438711911439896, 0.13412125408649445]"
321,"[0.05339392274618149, 0.21889343857765198]"
322,"[0.05316995829343796, 0.1427544355392456]"
323,"[0.05312517657876015, 0.22752663493156433]"
